team,pitch_type,pitch_name,pa,ab,h,tb,bb,hbp,so,hr,k_pct,bb_pct,avg,obp,slg,iso,woba,hr_pct,window_start,window_end
ARI,CH,Changeup,527,485,100,174,24,3,99,16,18.78558,4.55408,0.20619,0.24283,0.35876,0.15258,0.26147,3.03605,2026-05-06,2026-09-03
ARI,CS,Slow Curve,1,1,0,0,0,0,1,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-06,2026-09-03
ARI,CU,Curveball,185,171,41,58,10,3,52,2,28.10811,5.40541,0.23977,0.29189,0.33918,0.09942,0.28173,1.08108,2026-05-06,2026-09-03
ARI,EP,Eephus,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-06,2026-09-03
ARI,FA,Fastball,3,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-06,2026-09-03
ARI,FC,Cutter,296,261,78,118,28,2,36,7,12.16216,9.45946,0.29885,0.36986,0.45211,0.15326,0.36247,2.36486,2026-05-06,2026-09-03
ARI,FF,4-Seam Fastball,1204,1022,230,402,157,8,216,35,17.9402,13.03987,0.22505,0.33054,0.39335,0.1683,0.32331,2.90698,2026-05-06,2026-09-03
ARI,FS,Splitter,159,146,29,47,12,0,41,3,25.78616,7.54717,0.19863,0.25949,0.32192,0.12329,0.25726,1.88679,2026-05-06,2026-09-03
ARI,KC,Knuckle Curve,53,50,15,26,1,1,13,2,24.5283,1.88679,0.3,0.32075,0.52,0.22,0.36,3.77358,2026-05-06,2026-09-03
ARI,SI,Sinker,758,655,198,288,79,10,77,17,10.15831,10.42216,0.30229,0.38216,0.43969,0.1374,0.36339,2.24274,2026-05-06,2026-09-03
ARI,SL,Slider,537,495,118,200,30,6,120,17,22.34637,5.58659,0.23838,0.28785,0.40404,0.16566,0.3027,3.16574,2026-05-06,2026-09-03
ARI,ST,Sweeper,311,278,51,78,22,8,94,5,30.22508,7.07395,0.18345,0.26045,0.28058,0.09712,0.2474,1.60772,2026-05-06,2026-09-03
ARI,SV,Slurve,12,12,4,4,0,0,3,0,25.0,0.0,0.33333,0.33333,0.33333,0.0,0.29667,0.0,2026-05-06,2026-09-03
ATH,CH,Changeup,462,429,96,132,27,2,97,8,20.99567,5.84416,0.22378,0.27115,0.30769,0.08392,0.25876,1.7316,2026-05-06,2026-09-03
ATH,CS,Slow Curve,2,1,0,0,0,1,1,0,50.0,0.0,0.0,0.5,0.0,0.0,0.36,0.0,2026-05-06,2026-09-03
ATH,CU,Curveball,157,146,35,54,6,4,55,2,35.03185,3.82166,0.23973,0.28846,0.36986,0.13014,0.29186,1.27389,2026-05-06,2026-09-03
ATH,EP,Eephus,17,15,5,9,1,1,0,1,0.0,5.88235,0.33333,0.41176,0.6,0.26667,0.43824,5.88235,2026-05-06,2026-09-03
ATH,FA,Fastball,3,1,1,2,1,0,0,0,0.0,33.33333,1.0,0.66667,2.0,1.0,0.65333,0.0,2026-05-06,2026-09-03
ATH,FC,Cutter,272,239,79,149,23,4,42,17,15.44118,8.45588,0.33054,0.39259,0.62343,0.29289,0.43267,6.25,2026-05-06,2026-09-03
ATH,FF,4-Seam Fastball,1164,999,254,459,138,17,273,52,23.45361,11.85567,0.25425,0.35289,0.45946,0.20521,0.35802,4.46735,2026-05-06,2026-09-03
ATH,FS,Splitter,137,131,22,48,6,0,41,6,29.92701,4.37956,0.16794,0.20438,0.36641,0.19847,0.2481,4.37956,2026-05-06,2026-09-03
ATH,KC,Knuckle Curve,66,63,15,22,2,1,24,0,36.36364,3.0303,0.2381,0.27273,0.34921,0.11111,0.27439,0.0,2026-05-06,2026-09-03
ATH,SI,Sinker,842,757,209,295,70,12,111,18,13.1829,8.31354,0.27609,0.34602,0.3897,0.11361,0.32881,2.13777,2026-05-06,2026-09-03
ATH,SL,Slider,530,487,103,167,32,9,147,14,27.73585,6.03774,0.2115,0.27221,0.34292,0.13142,0.27505,2.64151,2026-05-06,2026-09-03
ATH,ST,Sweeper,295,274,49,93,15,5,95,9,32.20339,5.08475,0.17883,0.2339,0.33942,0.16058,0.25383,3.05085,2026-05-06,2026-09-03
ATH,SV,Slurve,16,14,5,8,2,0,5,1,31.25,12.5,0.35714,0.4375,0.57143,0.21429,0.44,6.25,2026-05-06,2026-09-03
ATL,CH,Changeup,436,405,89,141,27,1,74,12,16.97248,6.19266,0.21975,0.26897,0.34815,0.1284,0.2729,2.75229,2026-05-06,2026-09-03
ATL,CU,Curveball,243,225,53,98,10,4,70,11,28.80658,4.11523,0.23556,0.27572,0.43556,0.2,0.3079,4.52675,2026-05-06,2026-09-03
ATL,EP,Eephus,9,8,4,8,1,0,0,1,0.0,11.11111,0.5,0.55556,1.0,0.5,0.64889,11.11111,2026-05-06,2026-09-03
ATL,FA,Fastball,12,11,5,10,1,0,1,1,8.33333,8.33333,0.45455,0.5,0.90909,0.45455,0.5925,8.33333,2026-05-06,2026-09-03
ATL,FC,Cutter,319,277,68,115,35,3,56,11,17.55486,10.97179,0.24549,0.33651,0.41516,0.16968,0.3347,3.44828,2026-05-06,2026-09-03
ATL,FF,4-Seam Fastball,1136,1012,212,331,106,8,299,27,26.32042,9.33099,0.20949,0.28748,0.32708,0.11759,0.2775,2.37676,2026-05-06,2026-09-03
ATL,FO,Forkball,7,7,1,1,0,0,4,0,57.14286,0.0,0.14286,0.14286,0.14286,0.0,0.12714,0.0,2026-05-06,2026-09-03
ATL,FS,Splitter,108,102,24,42,5,1,19,5,17.59259,4.62963,0.23529,0.27778,0.41176,0.17647,0.30296,4.62963,2026-05-06,2026-09-03
ATL,KC,Knuckle Curve,47,44,13,15,2,0,21,0,44.68085,4.25532,0.29545,0.31915,0.34091,0.04545,0.2917,0.0,2026-05-06,2026-09-03
ATL,KN,Knuckleball,3,3,0,0,0,0,1,0,33.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-06,2026-09-03
ATL,SI,Sinker,677,602,178,292,57,9,77,28,11.37371,8.4195,0.29568,0.36256,0.48505,0.18937,0.37074,4.13589,2026-05-06,2026-09-03
ATL,SL,Slider,465,439,109,193,21,2,143,19,30.75269,4.51613,0.24829,0.28387,0.43964,0.19134,0.31432,4.08602,2026-05-06,2026-09-03
ATL,ST,Sweeper,357,330,75,119,17,8,95,9,26.61064,4.7619,0.22727,0.28011,0.36061,0.13333,0.28448,2.52101,2026-05-06,2026-09-03
ATL,SV,Slurve,28,24,4,6,2,1,11,0,39.28571,7.14286,0.16667,0.25,0.25,0.08333,0.22929,0.0,2026-05-06,2026-09-03
BAL,CH,Changeup,482,455,111,181,23,1,112,15,23.23651,4.77178,0.24396,0.28067,0.3978,0.15385,0.29711,3.11203,2026-05-06,2026-09-03
