xwoba,pitches,csw_rate,avg_pfx_x,avg_pfx_z,pitch_pct,team_abbr,zone_rate,chase_rate,pitch_name,pitch_type,whiff_rate,batting_avg,avg_spin_rate,avg_launch_speed,avg_release_speed,in_zone_swing_rate
0.33,5699,25.83,-0.31,1.3,29.13,ARI,51.83,30.31,4-Seam Fastball,FF,15.12,0.22,2313.5,82.75,94.8,64.08
0.36,3484,29.19,-0.65,0.62,17.81,ARI,58.32,24.86,Sinker,SI,9.59,0.32,2214.28,84.76,94.35,56.1
0.27,2624,29.38,0.17,0.09,13.41,ARI,42.87,34.62,Slider,SL,28.02,0.22,2471.49,82.02,86.65,64.27
0.29,2207,22.2,-0.31,0.31,11.28,ARI,36.25,36.32,Changeup,CH,25.96,0.21,1734.28,82.11,86.31,76.25
0.26,1626,30.57,0.66,0.03,8.31,ARI,43.42,29.78,Sweeper,ST,30.09,0.16,2609.41,81.38,83.61,60.06
0.36,1512,26.85,0.11,0.68,7.73,ARI,51.92,26.96,Cutter,FC,16.76,0.31,2387.62,82.91,89.71,64.71
0.3,1246,31.06,0.31,-0.82,6.37,ARI,38.28,32.77,Curveball,CU,26.49,0.23,2656.54,80.62,80.35,49.27
0.17,739,26.52,-0.84,0.38,3.78,ARI,36.67,39.74,Split-Finger,FS,36.59,0.11,1439.72,78.61,86.55,78.6
0.3,235,27.66,0.35,-0.73,1.2,ARI,43.4,36.84,Knuckle Curve,KC,24.56,0.25,2538.23,80.8,82.41,63.73
0.2,118,18.64,-0.2,-0.38,0.6,ARI,24.58,32.58,Slurve,SV,22.22,0.3,2493.31,81.73,83.34,55.17
0.18,64,9.38,-0.56,0.65,0.33,ARI,0,21.88,Unknown,UNK,28.57,0,2521,87.25,91.6,0
0,7,57.14,1.4,-1,0.04,ARI,28.57,0,Slow Curve,CS,0,0,2978.43,0,74.7,0
0.34,6175,26.56,-0.16,1.28,30.03,ATH,52.52,27.32,4-Seam Fastball,FF,22,0.24,2291.92,83.18,94.39,70.77
0.33,3836,25.76,-0.49,0.59,18.65,ATH,55.6,26.48,Sinker,SI,12.21,0.29,2177.76,83.7,94.27,65.26
0.3,2954,28.47,0.06,0.07,14.36,ATH,42.28,30.91,Slider,SL,33.26,0.22,2441.51,82.28,86.12,70.94
0.27,2269,22.52,-0.15,0.34,11.03,ATH,39.44,33.7,Changeup,CH,28.71,0.21,1744.2,80.55,86.05,79.44
0.26,1588,29.79,0.54,0.07,7.72,ATH,43.07,31.42,Sweeper,ST,30.81,0.2,2586.66,81.88,82.49,66.67
0.37,1300,27.08,0.11,0.68,6.32,ATH,51.46,29.32,Cutter,FC,23.74,0.34,2372.17,82.43,89.56,70.55
0.24,958,32.99,0.36,-0.93,4.66,ATH,42.69,28.78,Curveball,CU,32.13,0.24,2523.42,83.25,79.68,56.48
0.29,893,21.39,-0.8,0.19,4.34,ATH,34.83,33.51,Split-Finger,FS,31.74,0.19,1384.51,83.33,86.68,85.21
0.29,360,27.22,0.45,-0.79,1.75,ATH,37.22,30.53,Knuckle Curve,KC,34.78,0.29,2480.87,88.21,83.47,68.66
0.52,146,5.48,0.86,0.21,0.71,ATH,0,6.16,Unknown,UNK,33.33,0.17,2809.67,0,85.13,0
0.46,59,22.03,-0.71,-0.59,0.29,ATH,25.42,13.64,Slurve,SV,33.33,0.45,2322.73,84.51,82.42,60
0.1,21,19.05,-1.26,-0.14,0.1,ATH,23.81,43.75,Forkball,FO,33.33,0.2,1043.76,76.68,82.6,100
0.37,5,0,-0.53,1.56,0.02,ATH,20,50,Eephus,EP,0,0,1107.4,96.37,43.96,100
1.92,2,0,0.84,-0.81,0.01,ATH,0,100,Slow Curve,CS,0,1,2398,106.5,75.1,0
0.33,5892,25.49,-0.18,1.29,29.76,ATL,51.02,28.97,4-Seam Fastball,FF,19.57,0.24,2301.54,83.85,94.73,70.26
0.36,3433,25.58,-0.28,0.63,17.34,ATL,54.73,31.92,Sinker,SI,10.42,0.28,2188.24,83.87,93.88,63.49
0.28,2305,20.3,-0.18,0.34,11.64,ATL,34.19,37.84,Changeup,CH,25.34,0.21,1711.53,83.03,86.21,78.43
0.3,2245,29.44,0.08,0.11,11.34,ATL,42.67,37.14,Slider,SL,32.59,0.23,2434.37,82.58,86.36,67.64
0.3,1829,28.38,0.32,0.05,9.24,ATL,43.69,33.4,Sweeper,ST,25.52,0.24,2593.92,81.12,82.58,65.33
0.39,1624,28.94,0.09,0.62,8.2,ATL,49.08,31.08,Cutter,FC,25.13,0.26,2387.59,82.66,89.13,66.12
0.28,1411,27.57,0.22,-0.87,7.13,ATL,41.53,36.24,Curveball,CU,25,0.24,2633.28,82.58,80.07,62.29
0.27,459,23.75,-0.44,0.41,2.32,ATL,35.08,44.63,Split-Finger,FS,30.5,0.24,1342.64,80.03,85.95,78.26
